treatment,richness,composition,temperature,nutrients,species,replicate,sample_ID
Tmp_22_25_Nut0.01,2,CP,22-25 ,0.01,Colp_Para,3,CP_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,4,CLPS,22-25 ,0.01,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.75,4,CDLS,22-25 ,0.75,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut3,3,CLS,22-25 ,3,Colp_Loxo_Spiro,3,CLS_Tmp_22_25_Nut3_3
Tmp_22_25_Nut0.75,3,DLS,22-25 ,0.75,Dexio_Loxo_Spiro,2,DLS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut0.01,4,CDPS,22-25 ,0.01,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.75,2,PS,22-25 ,0.75,Para_Spiro,1,PS_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut3,4,CLPS,22-25 ,3,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_22_25_Nut3_1
Tmp_22_25_Nut0.75,2,PS,22-25 ,0.75,Para_Spiro,2,PS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut0.75,3,CPS,22-25 ,0.75,Colp_Para_Spiro,3,CPS_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut0.01,2,CS,22-25 ,0.01,Colp_Spiro,3,CS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,3,DLS,22-25 ,0.01,Dexio_Loxo_Spiro,3,DLS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut3,4,CLPS,22-25 ,3,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_22_25_Nut3_2
Tmp_22_25_Nut0.75,3,LPS,22-25 ,0.75,Loxo_Para_Spiro,1,LPS_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut3,3,CLS,22-25 ,3,Colp_Loxo_Spiro,2,CLS_Tmp_22_25_Nut3_2
Tmp_22_25_Nut0.75,2,CS,22-25 ,0.75,Colp_Spiro,3,CS_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut3,3,LPS,22-25 ,3,Loxo_Para_Spiro,1,LPS_Tmp_22_25_Nut3_1
Tmp_22_25_Nut3,3,LPS,22-25 ,3,Loxo_Para_Spiro,3,LPS_Tmp_22_25_Nut3_3
Tmp_22_25_Nut0.01,3,CDL,22-25 ,0.01,Colp_Dexio_Loxo,3,CDL_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.75,3,LPS,22-25 ,0.75,Loxo_Para_Spiro,3,LPS_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut0.01,4,CDLS,22-25 ,0.01,Colp_Dexio_Loxo_Spiro,3,CDLS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,3,CDL,22-25 ,0.01,Colp_Dexio_Loxo,1,CDL_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.75,3,CPS,22-25 ,0.75,Colp_Para_Spiro,1,CPS_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut0.75,4,CLPS,22-25 ,0.75,Colp_Loxo_Para_Spiro,3,CLPS_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut0.01,2,CS,22-25 ,0.01,Colp_Spiro,2,CS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut3,2,LP,22-25 ,3,Loxo_Para,2,LP_Tmp_22_25_Nut3_2
Tmp_22_25_Nut0.01,3,DLS,22-25 ,0.01,Dexio_Loxo_Spiro,1,DLS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut3,4,CDLS,22-25 ,3,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_22_25_Nut3_2
Tmp_22_25_Nut0.75,4,CLPS,22-25 ,0.75,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut0.01,2,DS,22-25 ,0.01,Dexio_Spiro,3,DS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.75,3,CPS,22-25 ,0.75,Colp_Para_Spiro,2,CPS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut3,3,LPS,22-25 ,3,Loxo_Para_Spiro,2,LPS_Tmp_22_25_Nut3_2
Tmp_22_25_Nut3,3,CDL,22-25 ,3,Colp_Dexio_Loxo,3,CDL_Tmp_22_25_Nut3_3
Tmp_22_25_Nut3,3,CDL,22-25 ,3,Colp_Dexio_Loxo,2,CDL_Tmp_22_25_Nut3_2
Tmp_22_25_Nut0.75,4,CLPS,22-25 ,0.75,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut0.75,4,DLPS,22-25 ,0.75,Dexio_Loxo_Para_Spiro,2,DLPS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut0.75,4,DLPS,22-25 ,0.75,Dexio_Loxo_Para_Spiro,1,DLPS_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut0.75,2,CS,22-25 ,0.75,Colp_Spiro,1,CS_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut0.01,2,CS,22-25 ,0.01,Colp_Spiro,1,CS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut3,2,LP,22-25 ,3,Loxo_Para,1,LP_Tmp_22_25_Nut3_1
Tmp_22_25_Nut3,2,CD,22-25 ,3,Colp_Dexio,2,CD_Tmp_22_25_Nut3_2
Tmp_25_28_Nut3,4,CDLS,25-28 ,3,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.01,2,DS,25-28 ,0.01,Dexio_Spiro,2,DS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.01,4,CDLS,25-28 ,0.01,Colp_Dexio_Loxo_Spiro,3,CDLS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut0.01,4,CDPS,25-28 ,0.01,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut0.01,2,DS,25-28 ,0.01,Dexio_Spiro,3,DS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut0.01,2,CD,25-28 ,0.01,Colp_Dexio,1,CD_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.75,2,PS,25-28 ,0.75,Para_Spiro,3,PS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.01,2,LS,25-28 ,0.01,Loxo_Spiro,1,LS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut3,2,LP,25-28 ,3,Loxo_Para,1,LP_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.01,4,CLPS,25-28 ,0.01,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.75,3,CDL,25-28 ,0.75,Colp_Dexio_Loxo,2,CDL_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut3,3,CLP,25-28 ,3,Colp_Loxo_Para,1,CLP_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.75,3,CDS,25-28 ,0.75,Colp_Dexio_Spiro,1,CDS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.75,4,CDPS,25-28 ,0.75,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.01,4,CLPS,25-28 ,0.01,Colp_Loxo_Para_Spiro,3,CLPS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut3,2,LS,25-28 ,3,Loxo_Spiro,2,LS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.75,3,LPS,25-28 ,0.75,Loxo_Para_Spiro,2,LPS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut3,4,CDLS,25-28 ,3,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.01,3,DPS,25-28 ,0.01,Dexio_Para_Spiro,1,DPS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.01,2,CD,25-28 ,0.01,Colp_Dexio,3,CD_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut0.01,3,LPS,25-28 ,0.01,Loxo_Para_Spiro,3,LPS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut3,3,CLP,25-28 ,3,Colp_Loxo_Para,2,CLP_Tmp_25_28_Nut3_2
Tmp_25_28_Nut3,3,DLS,25-28 ,3,Dexio_Loxo_Spiro,3,DLS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.01,2,CD,25-28 ,0.01,Colp_Dexio,2,CD_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.01,4,CDLS,25-28 ,0.01,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut3,2,DS,25-28 ,3,Dexio_Spiro,3,DS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,2,DS,25-28 ,0.75,Dexio_Spiro,1,DS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.01,3,CPS,25-28 ,0.01,Colp_Para_Spiro,2,CPS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.75,3,CDL,25-28 ,0.75,Colp_Dexio_Loxo,3,CDL_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut3,2,LP,25-28 ,3,Loxo_Para,2,LP_Tmp_25_28_Nut3_2
Tmp_25_28_Nut3,2,LP,25-28 ,3,Loxo_Para,3,LP_Tmp_25_28_Nut3_3
Tmp_25_28_Nut3,4,DLPS,25-28 ,3,Dexio_Loxo_Para_Spiro,1,DLPS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut3,2,LS,25-28 ,3,Loxo_Spiro,1,LS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut3,2,LS,25-28 ,3,Loxo_Spiro,3,LS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut3,4,CDPS,25-28 ,3,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.75,3,CDS,25-28 ,0.75,Colp_Dexio_Spiro,2,CDS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut3,4,CDLS,25-28 ,3,Colp_Dexio_Loxo_Spiro,3,CDLS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,2,DS,25-28 ,0.75,Dexio_Spiro,2,DS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.01,4,CDLS,25-28 ,0.01,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.01,3,DPS,25-28 ,0.01,Dexio_Para_Spiro,3,DPS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut3,4,CDPS,25-28 ,3,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,3,LPS,25-28 ,0.75,Loxo_Para_Spiro,3,LPS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.75,3,CDL,25-28 ,0.75,Colp_Dexio_Loxo,1,CDL_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.75,4,CDLP,25-28 ,0.75,Colp_Dexio_Loxo_Para,2,CDLP_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.01,2,LS,25-28 ,0.01,Loxo_Spiro,2,LS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut3,4,DLPS,25-28 ,3,Dexio_Loxo_Para_Spiro,3,DLPS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,4,DLPS,25-28 ,0.75,Dexio_Loxo_Para_Spiro,3,DLPS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.75,2,CP,25-28 ,0.75,Colp_Para,3,CP_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut3,3,DLS,25-28 ,3,Dexio_Loxo_Spiro,2,DLS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.75,4,CDPS,25-28 ,0.75,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.01,2,LS,25-28 ,0.01,Loxo_Spiro,3,LS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut0.75,4,CDLP,25-28 ,0.75,Colp_Dexio_Loxo_Para,1,CDLP_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut3,2,DS,25-28 ,3,Dexio_Spiro,1,DS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut3,3,CLP,25-28 ,3,Colp_Loxo_Para,3,CLP_Tmp_25_28_Nut3_3
Tmp_25_28_Nut3,3,CDP,25-28 ,3,Colp_Dexio_Para,3,CDP_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,2,CP,25-28 ,0.75,Colp_Para,2,CP_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.75,3,LPS,25-28 ,0.75,Loxo_Para_Spiro,1,LPS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.75,4,DLPS,25-28 ,0.75,Dexio_Loxo_Para_Spiro,1,DLPS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.01,4,CLPS,25-28 ,0.01,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.01,3,LPS,25-28 ,0.01,Loxo_Para_Spiro,2,LPS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.01,2,DS,25-28 ,0.01,Dexio_Spiro,1,DS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.75,2,DS,25-28 ,0.75,Dexio_Spiro,3,DS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.01,3,DPS,25-28 ,0.01,Dexio_Para_Spiro,2,DPS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut3,4,CDPS,25-28 ,3,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut3,2,DS,25-28 ,3,Dexio_Spiro,2,DS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.75,2,PS,25-28 ,0.75,Para_Spiro,1,PS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.75,3,CDS,25-28 ,0.75,Colp_Dexio_Spiro,3,CDS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.75,2,CP,25-28 ,0.75,Colp_Para,1,CP_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.75,4,DLPS,25-28 ,0.75,Dexio_Loxo_Para_Spiro,2,DLPS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut3,3,CDP,25-28 ,3,Colp_Dexio_Para,1,CDP_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.75,4,CDPS,25-28 ,0.75,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut3,4,DLPS,25-28 ,3,Dexio_Loxo_Para_Spiro,2,DLPS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.75,4,CDLP,25-28 ,0.75,Colp_Dexio_Loxo_Para,3,CDLP_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut3,3,DLS,25-28 ,3,Dexio_Loxo_Spiro,1,DLS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.01,4,CDPS,25-28 ,0.01,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.01,4,CDPS,25-28 ,0.01,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.01,3,CPS,25-28 ,0.01,Colp_Para_Spiro,3,CPS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut3,3,CDP,25-28 ,3,Colp_Dexio_Para,2,CDP_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.01,3,LPS,25-28 ,0.01,Loxo_Para_Spiro,1,LPS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.75,2,PS,25-28 ,0.75,Para_Spiro,2,PS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.01,3,CPS,25-28 ,0.01,Colp_Para_Spiro,1,CPS_Tmp_25_28_Nut0.01_1
